user_id,total_views,avg_completion,total_watch_time,segment
U0001,21,64.44285714285714,1232.3,Regular User
U0002,21,47.90952380952381,977.5,Regular User
U0003,15,51.32,635.9,Casual User
U0004,23,55.22608695652174,1118.9,Regular User
U0005,26,57.8423076923077,1265.7,Regular User
U0006,17,54.3235294117647,929.1,Regular User
U0007,16,61.46875,798.3000000000001,Regular User
U0008,23,59.47391304347826,1123.5,Regular User
U0009,18,56.37777777777777,1000.3,Regular User
U0010,19,62.06315789473685,1022.0,Regular User
U0011,26,55.396153846153844,1175.8,Regular User
U0012,14,60.121428571428574,597.8,Casual User
U0013,16,46.55625,626.6,Regular User
U0014,14,48.221428571428575,588.7,Casual User
U0015,19,47.93684210526315,757.4,Regular User
U0016,20,55.925,1041.6,Regular User
U0017,20,57.23,954.2,Regular User
U0018,17,61.89411764705883,935.5,Regular User
U0019,17,62.34117647058823,893.7,Regular User
U0020,19,47.72631578947368,704.4,Regular User
U0021,15,63.080000000000005,853.4,Casual User
U0022,20,64.42999999999999,960.8,Regular User
U0023,14,69.82142857142857,814.8,Casual User
U0024,21,58.590476190476195,949.7,Regular User
U0025,16,50.26875,776.5,Regular User
U0026,21,47.6,683.9,Regular User
U0027,17,61.56470588235294,808.7,Regular User
U0028,31,62.36774193548387,1867.7,Regular User
U0029,11,47.89090909090908,453.5,Casual User
U0030,25,64.956,1497.3,Regular User
U0031,17,60.688235294117646,1023.6,Regular User
U0032,20,59.635000000000005,855.6,Regular User
U0033,26,60.77307692307693,1332.1,Regular User
U0034,11,59.86363636363637,536.7,Casual User
U0035,18,67.50555555555555,942.9,Regular User
U0036,27,51.1,1359.9,Regular User
U0037,15,50.13333333333333,639.7,Casual User
U0038,21,62.55714285714286,1164.9,Regular User
U0039,21,62.0047619047619,1055.0,Regular User
U0040,20,59.25,1072.3,Regular User
U0041,17,58.61176470588235,853.8,Regular User
U0042,16,49.475,527.1,Regular User
U0043,25,56.852,1201.5,Regular User
U0044,24,54.99166666666667,1183.9,Regular User
