user_id,total_watch_time,avg_completion,total_views,engagement_score
U0001,1232.3,64.44285714285714,21,639.6828571428572
U0002,977.5,47.90952380952381,21,507.3228571428571
U0003,635.9,51.32,15,336.346
U0004,1118.9,55.22608695652174,23,580.6178260869566
U0005,1265.7,57.8423076923077,26,655.4026923076924
U0006,929.1,54.3235294117647,17,484.2470588235294
U0007,798.3000000000001,61.46875,16,420.79062500000003
U0008,1123.5,59.47391304347826,23,584.1921739130435
U0009,1000.3,56.37777777777777,18,520.6633333333333
U0010,1022.0,62.06315789473685,19,533.418947368421
U0011,1175.8,55.396153846153844,26,609.7188461538461
U0012,597.8,60.121428571428574,14,319.7364285714286
U0013,626.6,46.55625,16,330.466875
U0014,588.7,48.221428571428575,14,311.6164285714286
U0015,757.4,47.93684210526315,19,396.88105263157894
U0016,1041.6,55.925,20,541.5775
U0017,954.2,57.23,20,498.269
U0018,935.5,61.89411764705883,17,489.7182352941176
U0019,893.7,62.34117647058823,17,468.95235294117646
U0020,704.4,47.72631578947368,19,370.3178947368421
U0021,853.4,63.080000000000005,15,448.62399999999997
U0022,960.8,64.42999999999999,20,503.729
U0023,814.8,69.82142857142857,14,431.14642857142854
U0024,949.7,58.590476190476195,21,496.62714285714287
U0025,776.5,50.26875,16,406.530625
U0026,683.9,47.6,21,360.42999999999995
U0027,808.7,61.56470588235294,17,426.2194117647059
U0028,1867.7,62.36774193548387,31,958.7603225806453
U0029,453.5,47.89090909090908,11,243.31727272727272
U0030,1497.3,64.956,25,773.1368
U0031,1023.6,60.688235294117646,17,533.4064705882353
U0032,855.6,59.635000000000005,20,449.6905
U0033,1332.1,60.77307692307693,26,689.4819230769231
U0034,536.7,59.86363636363637,11,288.5090909090909
U0035,942.9,67.50555555555555,18,495.3016666666667
U0036,1359.9,51.1,27,700.6800000000001
U0037,639.7,50.13333333333333,15,337.89000000000004
U0038,1164.9,62.55714285714286,21,605.417142857143
U0039,1055.0,62.0047619047619,21,550.3014285714286
U0040,1072.3,59.25,20,557.925
U0041,853.8,58.61176470588235,17,447.88352941176464
U0042,527.1,49.475,16,281.5925
U0043,1201.5,56.852,25,622.8056
U0044,1183.9,54.99166666666667,24,613.2475
U0045,669.0,54.60666666666667,15,353.882
U0046,737.8,53.1,15,387.83
U0047,646.0,59.34375,16,344.003125
U0048,1247.4,52.94814814814814,27,644.9844444444444
U0049,1006.6,59.404761904761905,21,525.3214285714287
U0050,990.7,56.483333333333334,18,515.8950000000001
U0051,1000.3,57.33,20,521.3489999999999
U0052,1362.6,57.916000000000004,25,703.6748
U0053,1031.4,60.904761904761905,21,538.1714285714287
U0054,1370.4,60.07096774193548,31,709.4212903225807
U0055,1317.9,58.737500000000004,24,681.37125
U0056,815.2,55.266666666666666,15,427.18
U0057,1360.2,51.077777777777776,27,700.8233333333334
U0058,1143.4,61.3,25,595.09
U0059,1208.8,62.66956521739131,23,627.8008695652173
U0060,1159.7,53.28,25,600.8340000000001
U0061,866.1,61.870588235294115,17,455.0111764705882
U0062,888.1999999999999,44.92173913043479,23,462.1765217391304
U0063,1113.9,59.520833333333336,24,579.60625
U0064,1203.6,52.87916666666666,24,622.4637499999999
U0065,1053.4,53.71363636363637,22,547.2140909090909
U0066,1075.5,50.949999999999996,24,557.8349999999999
U0067,780.9,46.67777777777778,18,408.05333333333334
U0068,788.9,53.98823529411764,17,414.04647058823525
U0069,969.6,61.42857142857143,21,507.42857142857144
U0070,1177.5,51.47692307692308,26,609.3930769230769
U0071,921.3,53.28947368421053,19,480.43684210526317
U0072,1156.8,64.12380952380951,21,601.8371428571429
U0073,903.3,53.83181818181818,22,472.1995454545454
U0074,651.3,52.621428571428574,14,344.2364285714286
U0075,712.2,65.83571428571427,14,378.6507142857143
U0076,1399.8,60.56428571428571,28,723.6692857142857
U0077,530.6,56.80714285714286,14,285.14214285714286
U0078,756.3,52.13333333333333,12,396.18999999999994
U0079,790.4,50.78125,16,413.634375
U0080,479.7,45.525,12,255.9075
U0081,1394.2,59.417857142857144,28,720.5253571428572
U0082,1091.1,49.458333333333336,24,565.1874999999999
U0083,1100.6,54.36666666666667,24,571.4099999999999
U0084,934.8,61.29473684210526,19,489.5884210526316
U0085,1163.6,61.085,20,604.1255
U0086,911.8,57.675,16,476.4025
U0087,862.6,58.215789473684204,19,452.5647368421053
